"ID","NAME","STATUS","PREFIXES AS URL","PREFIXES AS LRU","HOME PAGE","START PAGES","CRAWLED","CRAWLING STATUS","INDEXING STATUS","INDEGREE","OUTDEGREE","NEIGHBOORS COUNT","TOTAL KNOWN PAGES","CRAWLED PAGES","CREATION TIMESTAMP","CREATION DATE","LAST MODIFICATION TIMESTAMP","LAST MODIFICATION DATE","total_tweets (TAGS)","twitter_score (TAGS)","total_twitter_users (TAGS)","FREETAGS (TAGS)","uncrawlable (TAGS)","createdBy (TECHNICAL INFO)","mergedWebEntities (TECHNICAL INFO)"
"33","Lemediaen442.fr","IN","http://lemediaen442.fr http://www.lemediaen442.fr https://lemediaen442.fr https://www.lemediaen442.fr","s:https|h:fr|h:lemediaen442| s:https|h:fr|h:lemediaen442|h:www| s:http|h:fr|h:lemediaen442| s:http|h:fr|h:lemediaen442|h:www|","https://lemediaen442.fr","https://lemediaen442.fr","true","FINISHED","FINISHED","42","369","406","958","422","1689961650309","2023-07-21T17:47:30.309Z","1689963747672","2023-07-21T18:22:27.672Z","489348","4,318523826","152573","Comment MC: check","","user via lru",""
"34","Lavoixdunord.fr","IN","http://lavoixdunord.fr http://www.lavoixdunord.fr https://lavoixdunord.fr https://www.lavoixdunord.fr","s:https|h:fr|h:lavoixdunord| s:https|h:fr|h:lavoixdunord|h:www| s:http|h:fr|h:lavoixdunord| s:http|h:fr|h:lavoixdunord|h:www|","https://lavoixdunord.fr","https://lavoixdunord.fr https://www.lavoixdunord.fr/","true","FINISHED","FINISHED","191","1544","1688","8347","7459","1689961650490","2023-07-21T17:47:30.490Z","1693243080008","2023-08-28T17:18:00.008Z","440953","4,271892653","158831","","","user via lru",""
"35","Lecourrier-Du-Soir.com","IN","http://lecourrier-du-soir.com http://www.lecourrier-du-soir.com https://lecourrier-du-soir.com https://www.lecourrier-du-soir.com","s:https|h:com|h:lecourrier-du-soir| s:https|h:com|h:lecourrier-du-soir|h:www| s:http|h:com|h:lecourrier-du-soir| s:http|h:com|h:lecourrier-du-soir|h:www|","https://lecourrier-du-soir.com","https://lecourrier-du-soir.com","true","FINISHED","FINISHED","31","551","582","1132","1022","1689961650672","2023-07-21T17:47:30.672Z","1689963747519","2023-07-21T18:22:27.519Z","466080","4,255672974","150638","","","user via lru",""
"36","Lecourrierdesstrateges.fr","IN","http://lecourrierdesstrateges.fr http://www.lecourrierdesstrateges.fr https://lecourrierdesstrateges.fr https://www.lecourrierdesstrateges.fr","s:https|h:fr|h:lecourrierdesstrateges| s:https|h:fr|h:lecourrierdesstrateges|h:www| s:http|h:fr|h:lecourrierdesstrateges| s:http|h:fr|h:lecourrierdesstrateges|h:www|","https://lecourrierdesstrateges.fr","https://lecourrierdesstrateges.fr","true","FINISHED","FINISHED","49","452","487","2309","1175","1689961650856","2023-07-21T17:47:30.856Z","1689963747398","2023-07-21T18:22:27.398Z","497368","4,168853112","137386","","","user via lru",""
"37","Latribune.fr","IN","http://latribune.fr http://www.latribune.fr https://latribune.fr https://www.latribune.fr","s:https|h:fr|h:latribune| s:https|h:fr|h:latribune|h:www| s:http|h:fr|h:latribune| s:http|h:fr|h:latribune|h:www|","https://latribune.fr","https://latribune.fr","true","FINISHED","FINISHED","199","1285","1453","5561","4233","1689961651048","2023-07-21T17:47:31.048Z","1689963747343","2023-07-21T18:22:27.343Z","323776","4,008585049","164243","","","user via lru",""
"39","Courrierinternational.com","IN","http://courrierinternational.com http://www.courrierinternational.com https://courrierinternational.com https://www.courrierinternational.com","s:https|h:com|h:courrierinternational| s:https|h:com|h:courrierinternational|h:www| s:http|h:com|h:courrierinternational| s:http|h:com|h:courrierinternational|h:www|","https://courrierinternational.com","https://courrierinternational.com","true","FINISHED","FINISHED","173","411","584","1866","1183","1689961651523","2023-07-21T17:47:31.523Z","1689963747220","2023-07-21T18:22:27.220Z","291782","3,603640573","149966","","","user via lru",""
"41","Europe1.fr","IN","http://eur1.fr http://europe1.fr http://www.eur1.fr http://www.europe1.fr https://eur1.fr https://europe1.fr https://www.europe1.fr","s:https|h:fr|h:eur1| s:https|h:fr|h:europe1| s:https|h:fr|h:europe1|h:www| s:http|h:fr|h:eur1| s:http|h:fr|h:eur1|h:www| s:http|h:fr|h:europe1| s:http|h:fr|h:europe1|h:www|","https://europe1.fr","https://eur1.fr https://eur1.fr https://europe1.fr","true","FINISHED","FINISHED","241","179","410","4329","2614","1689961651901","2023-07-21T17:47:31.901Z","1693238861241","2023-08-28T16:07:41.241Z","17129|286385","0,2635353428|3,544921787","11267|145571","","","user via lru","247: Eur1.fr (IN)"
"42","Lopinion.fr","IN","http://lopinion.fr http://www.lopinion.fr https://lopinion.fr https://www.lopinion.fr","s:https|h:fr|h:lopinion| s:https|h:fr|h:lopinion|h:www| s:http|h:fr|h:lopinion| s:http|h:fr|h:lopinion|h:www|","https://lopinion.fr","https://lopinion.fr","true","FINISHED","FINISHED","114","183","287","1393","997","1689961652083","2023-07-21T17:47:32.083Z","1689963747030","2023-07-21T18:22:27.030Z","300152","3,522020752","140833","","","user via lru",""
"43","Parismatch.com","IN","http://parismatch.com http://www.parismatch.com https://parismatch.com https://www.parismatch.com","s:https|h:com|h:parismatch| s:https|h:com|h:parismatch|h:www| s:http|h:com|h:parismatch| s:http|h:com|h:parismatch|h:www|","https://parismatch.com","https://parismatch.com","true","FINISHED","FINISHED","151","484","619","2791","2105","1689961652967","2023-07-21T17:47:32.967Z","1689963746923","2023-07-21T18:22:26.923Z","238638","3,493682577","151206","","","user via lru",""
"44","La-Croix.com","IN","http://la-croix.com http://www.la-croix.com https://la-croix.com https://www.la-croix.com","s:https|h:com|h:la-croix| s:https|h:com|h:la-croix|h:www| s:http|h:com|h:la-croix| s:http|h:com|h:la-croix|h:www|","https://la-croix.com","https://la-croix.com","true","FINISHED","FINISHED","189","1474","1630","11185","10273","1689961653885","2023-07-21T17:47:33.885Z","1689963746858","2023-07-21T18:22:26.858Z","250290","3,161373418","130560","","","user via lru",""
